,date,total_cases,new_cases,total_deaths,new_deaths,new_tests_smoothed,stringency_index,reproduction_rate,positive_rate,month,year
26367,2021-01-01,0.8799967308110976,0.35078821252698,0.7746154456801271,0.6740517147694778,0.566031664320102,0.9815893351494624,0.18227439482890628,0.3594960691439892,January2021,2021
26368,2021-01-02,0.8818225587233767,0.6057871304247973,0.7771404822623229,0.6655467829913978,0.5408687351663739,0.9815893351494624,0.18227439482890628,0.6289314180926882,January2021,2021
26369,2021-01-03,0.8835498691251857,0.5954821110674792,0.7794700225618933,0.6543308303323685,0.515030928614854,0.9815893351494624,0.1883090534969032,0.6266344157981515,January2021,2021
26370,2021-01-04,0.8855960765058091,0.630969366336823,0.7865524651959666,0.8575206179082789,0.5554523914432026,0.9815893351494624,0.20025249716265314,0.6501555547229662,January2021,2021
26371,2021-01-05,0.8886263566072958,0.7205688863015786,0.7938841529495754,0.869090781108777,0.5942574897067721,1.0,0.21203287765158652,0.727931554792993,January2021,2021
26372,2021-01-06,0.8929934715391169,0.8161582524956326,0.8015704396724793,0.8838452736747426,0.6315987209200589,1.0,0.2294095573492052,0.8092396822975765,January2021,2021
26373,2021-01-07,0.9003227496573215,0.9741134177826215,0.8096246447248436,0.8989850438213167,0.6676067889046118,1.0,0.23512598004632568,0.94892227744119,January2021,2021
26374,2021-01-08,0.903371957987603,0.729975132025152,0.8167266168674445,0.8747271746005107,0.7023946696614225,1.0,0.21786363509235573,0.6992535198990597,January2021,2021
26375,2021-01-09,0.9069934542967966,0.7749409752582238,0.8206193639444067,0.7559687568918783,0.7360607583366419,1.0,0.20616272245414402,0.7305512635917446,January2021,2021
26376,2021-01-10,0.9071432544283986,0.26837423399195703,0.8228971940542936,0.6673635187466103,0.7686913378681688,0.9877272939866744,0.1883090534969032,0.24917031832672087,January2021,2021
26377,2021-01-11,0.9089889709147432,0.6203082329880578,0.8286397145639496,0.8354931844973947,0.7650306477094133,0.9877272939866744,0.1883090534969032,0.5769011809937968,January2021,2021
26378,2021-01-12,0.9132507570324035,0.8217017640712774,0.8357808580574457,0.8863464620148834,0.7613615675372729,0.9877272939866744,0.1883090534969032,0.7655074995170422,January2021,2021
26379,2021-01-13,0.9172194084134422,0.8048080288014855,0.8435487355398583,0.9098223994985102,0.7576757819418309,0.9877272939866744,0.18227439482890628,0.7510580928316155,January2021,2021
26380,2021-01-14,0.920506614480996,0.7578033605686005,0.8505744689104309,0.8906797291057424,0.7539772792794668,0.9877272939866744,0.1700754483127016,0.708414791115797,January2021,2021
26381,2021-01-15,0.9218235377957293,0.5595681358904456,0.8536863773031086,0.730293894390357,0.7502659492849302,0.9877272939866744,0.1576983992832477,0.5240079036271401,January2021,2021
26382,2021-01-16,0.9240855941547625,0.6710035209448141,0.8583860379771767,0.8091703396806526,0.7465458486123075,0.9877272939866744,0.1514410247356901,0.6294576630991329,January2021,2021
26383,2021-01-17,0.9258312855698972,0.6163618736538605,0.8610687228090224,0.7080026732786678,0.7428085416248227,0.9877272939866744,0.145136601155069,0.5792141839235196,January2021,2021
26384,2021-01-18,0.927233104543459,0.5735424398313465,0.8632784009317287,0.6775417264744392,0.7361828337533549,0.9877272939866744,0.145136601155069,0.540658021058267,January2021,2021
26385,2021-01-19,0.9290799596449953,0.6294806201310711,0.8737092696192864,1.0,0.7295154970251689,0.9877272939866744,0.145136601155069,0.5952589058151715,January2021,2021
26386,2021-01-20,0.933429768455517,0.8393678803551118,0.8796894798749028,0.8699641714991555,0.7228058713346417,0.9877272939866744,0.1514410247356901,0.7962608290584566,January2021,2021
26387,2021-01-21,0.9346637853103401,0.5526230860861558,0.8847381741417971,0.8362202837618697,0.7160532796675174,0.9877272939866744,0.13878423403891138,0.5259261540086045,January2021,2021
26388,2021-01-22,0.9370943186014131,0.693615656643612,0.8895636424740302,0.8291199228015347,0.7092570274995886,0.9877272939866744,0.13878423403891138,0.6622483747300477,January2021,2021
26389,2021-01-23,0.9389319874192228,0.6328416899711636,0.8904801344247988,0.5654947234774219,0.7024164021678987,0.9877272939866744,0.1259319523887994,0.6062017120734408,January2021,2021
26390,2021-01-24,0.9404167108548943,0.5901052658094269,0.8928940674665323,0.7025973801047134,0.6955306722129155,0.9877272939866744,0.11943010644912411,0.5671340189010325,January2021,2021
26391,2021-01-25,0.941428656406336,0.5197742172628365,0.8975986919364451,0.8276304801109658,0.6989029049944817,0.9877272939866744,0.11943010644912411,0.4987328733512217,January2021,2021
26392,2021-01-26,0.9428044743497123,0.5762978217060037,0.9003610179105586,0.7281849444128674,0.7022642651239426,0.9877272939866744,0.1259319523887994,0.552078316893174,January2021,2021
26393,2021-01-27,0.945087378885855,0.6831455746035857,0.9052543804091466,0.8393517884470578,0.7056148398179214,0.9877272939866744,0.13238300136012104,0.6533874465162117,January2021,2021
26394,2021-01-28,0.9472502235873713,0.6719983385926748,0.9128589634938242,0.9427868266305724,0.7089547151790063,0.9877272939866744,0.13238300136012104,0.6417012313040932,January2021,2021
26395,2021-01-29,0.9491070295327737,0.6395750896874995,0.9150480690742528,0.6946645893912848,0.7122839762152233,0.9877272939866744,0.1259319523887994,0.6097708517847383,January2021,2021
26396,2021-01-30,0.951630520844943,0.7095225663651067,0.9194649080154722,0.8246299471086146,0.7156027068590773,0.9877272939866744,0.1259319523887994,0.6753906568504386,January2021,2021
26397,2021-01-31,0.951737975913313,0.2479925140737406,0.9197760945427348,0.4626948202716717,0.7189109899861734,0.9877272939866744,0.11287645160688076,0.2356917390519546,January2021,2021
26398,2021-02-01,0.9526948152757898,0.5142053242205282,0.924556871208558,0.8434005878902407,0.7144818738754133,0.9877272939866744,0.11287645160688076,0.4897303980828394,February2021,2021
26399,2021-02-02,0.9537959458946688,0.5392375812669149,0.9294830766993709,0.8520388764876755,0.7100340017623952,0.9877272939866744,0.11287645160688076,0.5146608874882258,February2021,2021
26400,2021-02-03,0.9555786026035211,0.6338075515477946,0.9335825600563428,0.8157074534491756,0.705571507174567,0.9877272939866744,0.11943010644912411,0.6062111676742811,February2021,2021
26401,2021-02-04,0.9574320520920517,0.6428974885017172,0.9380281103008464,0.834277598635529,0.7010855387680313,0.9877272939866744,0.1259319523887994,0.6162268594730224,February2021,2021
26402,2021-02-05,0.9589676338487522,0.6045251089125661,0.9415728742905478,0.7903488105345953,0.6965802046871208,0.9877272939866744,0.11943010644912411,0.5806997701671086,February2021,2021
26403,2021-02-06,0.960187513517986,0.5604134062627691,0.9427332348719587,0.6097919018341582,0.6920596844604463,0.9877272939866744,0.11943010644912411,0.5394975130366755,February2021,2021
26404,2021-02-07,0.9611280196282316,0.5142567293317595,0.9435341070599111,0.5632417409663262,0.6875150035196065,0.9877272939866744,0.11287645160688076,0.4961484625109981,February2021,2021
26405,2021-02-08,0.9617826157237935,0.4559903896933925,0.9459894510310718,0.7249891280015557,0.6838533595095344,0.9877272939866744,0.11287645160688076,0.4407120036016007,February2021,2021
26406,2021-02-09,0.9625877518905787,0.48880882921914365,0.9501038612620578,0.8236232596863935,0.680174275066894,0.9877272939866744,0.11943010644912411,0.4732719650402573,February2021,2021
26407,2021-02-10,0.963884570189954,0.5733977728794465,0.9534398008406143,0.7835086622568128,0.6764820429054181,0.9877272939866744,0.1259319523887994,0.5561659946571358,February2021,2021
26408,2021-02-11,0.9652731991118365,0.5871629289984963,0.9561871369255724,0.7485531346576129,0.6727810174137547,0.9877272939866744,0.13878423403891138,0.5705411808525225,February2021,2021
26409,2021-02-12,0.9665560545799607,0.5723830540530973,0.9588941023613704,0.7469138964123655,0.66906215001892,0.9877272939866744,0.13878423403891138,0.557186066997457,February2021,2021
26410,2021-02-13,0.9674584564957245,0.5094313967860826,0.9599736059173337,0.6050067598200621,0.6653297756100611,0.9877272939866744,0.13878423403891138,0.4968080003901849,February2021,2021
26411,2021-02-14,0.9681306917846545,0.4620546303436051,0.9605493333559445,0.5300045888661165,0.6615882923803016,0.9877272939866744,0.145136601155069,0.4514284881903891,February2021,2021
